Date : 2021-04-08 18:07:32
Directory : d:\code\source code\vue-next
Total : 432 files,  77307 codes, 28867 comments, 8815 blanks, all 114989 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript       |        332 |     69,086 |      4,848 |      7,395 |     81,329 |
| JSON             |         32 |      2,963 |     23,655 |         37 |     26,655 |
| HTML             |         18 |      1,757 |         26 |        185 |      1,968 |
| Markdown         |         18 |      1,599 |          0 |        934 |      2,533 |
| TypeScript React |          4 |        867 |        204 |        113 |      1,184 |
| JavaScript       |         21 |        852 |        134 |        119 |      1,105 |
| YAML             |          5 |        101 |          0 |         15 |        116 |
| CSS              |          1 |         79 |          0 |         16 |         95 |
| SCSS             |          1 |          3 |          0 |          1 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        432 |     77,307 |     28,867 |      8,815 |    114,989 |
| .circleci                                                                                               |          1 |         45 |          0 |          8 |         53 |
| .github                                                                                                 |          6 |        278 |          0 |        143 |        421 |
| .github\ISSUE_TEMPLATE                                                                                  |          1 |         11 |          0 |          1 |         12 |
| .github\workflows                                                                                       |          2 |         42 |          0 |          5 |         47 |
| example                                                                                                 |          1 |         33 |          0 |          2 |         35 |
| packages                                                                                                |        391 |     73,055 |      4,707 |      7,581 |     85,343 |
| packages\compiler-core                                                                                  |         48 |     16,349 |        850 |      1,285 |     18,484 |
| packages\compiler-core\__tests__                                                                        |         20 |     10,165 |        122 |        721 |     11,008 |
| packages\compiler-core\__tests__\transforms                                                             |         13 |      6,116 |         77 |        405 |      6,598 |
| packages\compiler-core\src                                                                              |         24 |      6,130 |        728 |        559 |      7,417 |
| packages\compiler-core\src\transforms                                                                   |         13 |      2,630 |        326 |        213 |      3,169 |
| packages\compiler-dom                                                                                   |         31 |      4,762 |        128 |        261 |      5,151 |
| packages\compiler-dom\__tests__                                                                         |         11 |      1,494 |         23 |        161 |      1,678 |
| packages\compiler-dom\__tests__\transforms                                                              |          9 |      1,064 |         18 |        100 |      1,182 |
| packages\compiler-dom\src                                                                               |         16 |      3,212 |        105 |         96 |      3,413 |
| packages\compiler-dom\src\transforms                                                                    |          9 |        633 |         92 |         57 |        782 |
| packages\compiler-sfc                                                                                   |         30 |      5,292 |        415 |        489 |      6,196 |
| packages\compiler-sfc\__tests__                                                                         |         11 |      2,112 |        116 |        206 |      2,434 |
| packages\compiler-sfc\__tests__\fixture                                                                 |          1 |          3 |          0 |          1 |          4 |
| packages\compiler-sfc\src                                                                               |         15 |      3,050 |        299 |        252 |      3,601 |
| packages\compiler-ssr                                                                                   |         33 |      3,187 |        176 |        356 |      3,719 |
| packages\compiler-ssr\__tests__                                                                         |         13 |      1,621 |         13 |        224 |      1,858 |
| packages\compiler-ssr\src                                                                               |         16 |      1,518 |        163 |        128 |      1,809 |
| packages\compiler-ssr\src\transforms                                                                    |         12 |      1,196 |        131 |         99 |      1,426 |
| packages\reactivity                                                                                     |         23 |      4,328 |        225 |        619 |      5,172 |
| packages\reactivity\__tests__                                                                           |         11 |      3,034 |        111 |        446 |      3,591 |
| packages\reactivity\__tests__\collections                                                               |          4 |      1,042 |          9 |        145 |      1,196 |
| packages\reactivity\src                                                                                 |          8 |      1,229 |        114 |        160 |      1,503 |
| packages\runtime-core                                                                                   |         85 |     23,941 |      2,055 |      2,949 |     28,945 |
| packages\runtime-core\__tests__                                                                         |         39 |     13,448 |        586 |      2,000 |     16,034 |
| packages\runtime-core\__tests__\components                                                              |          4 |      2,876 |        170 |        417 |      3,463 |
| packages\runtime-core\__tests__\helpers                                                                 |          5 |        358 |         13 |         60 |        431 |
| packages\runtime-core\src                                                                               |         41 |     10,413 |      1,465 |        934 |     12,812 |
| packages\runtime-core\src\components                                                                    |          4 |      1,684 |        186 |        132 |      2,002 |
| packages\runtime-core\src\helpers                                                                       |          7 |        264 |         61 |         33 |        358 |
| packages\runtime-core\types                                                                             |          1 |          9 |          4 |          2 |         15 |
| packages\runtime-dom                                                                                    |         35 |      4,468 |        409 |        570 |      5,447 |
| packages\runtime-dom\__tests__                                                                          |         14 |      1,850 |         47 |        283 |      2,180 |
| packages\runtime-dom\__tests__\directives                                                               |          4 |      1,178 |         15 |        177 |      1,370 |
| packages\runtime-dom\__tests__\helpers                                                                  |          2 |        166 |          6 |         25 |        197 |
| packages\runtime-dom\src                                                                                |         15 |      1,500 |        146 |        180 |      1,826 |
| packages\runtime-dom\src\components                                                                     |          2 |        485 |         30 |         55 |        570 |
| packages\runtime-dom\src\directives                                                                     |          3 |        385 |         26 |         32 |        443 |
| packages\runtime-dom\src\helpers                                                                        |          2 |         73 |          7 |          9 |         89 |
| packages\runtime-dom\src\modules                                                                        |          5 |        276 |         45 |         31 |        352 |
| packages\runtime-dom\types                                                                              |          2 |      1,053 |        216 |         99 |      1,368 |
| packages\runtime-test                                                                                   |         10 |        603 |          8 |         76 |        687 |
| packages\runtime-test\__tests__                                                                         |          1 |        188 |          2 |         27 |        217 |
| packages\runtime-test\src                                                                               |          5 |        350 |          6 |         38 |        394 |
| packages\server-renderer                                                                                |         28 |      2,685 |         69 |        271 |      3,025 |
| packages\server-renderer\__tests__                                                                      |         11 |      1,827 |         24 |        186 |      2,037 |
| packages\server-renderer\src                                                                            |         13 |        795 |         45 |         77 |        917 |
| packages\server-renderer\src\helpers                                                                    |          9 |        325 |         12 |         36 |        373 |
| packages\shared                                                                                         |         22 |        885 |        212 |        135 |      1,232 |
| packages\shared\__tests__                                                                               |          5 |        333 |         32 |         42 |        407 |
| packages\shared\src                                                                                     |         13 |        512 |        180 |         89 |        781 |
| packages\size-check                                                                                     |          3 |         17 |          1 |          5 |         23 |
| packages\size-check\src                                                                                 |          1 |          4 |          1 |          2 |          7 |
| packages\template-explorer                                                                              |          8 |        772 |         13 |         65 |        850 |
| packages\template-explorer\src                                                                          |          3 |        636 |         13 |         37 |        686 |
| packages\vue                                                                                            |         34 |      5,747 |        143 |        497 |      6,387 |
| packages\vue\__tests__                                                                                  |          6 |      2,747 |         79 |        195 |      3,021 |
| packages\vue\examples                                                                                   |         21 |      2,800 |         50 |        263 |      3,113 |
| packages\vue\examples\__tests__                                                                         |          7 |      1,162 |         24 |         88 |      1,274 |
| packages\vue\examples\classic                                                                           |          6 |        721 |         11 |         66 |        798 |
| packages\vue\examples\composition                                                                       |          6 |        729 |         11 |         85 |        825 |
| packages\vue\examples\transition                                                                        |          2 |        188 |          4 |         24 |        216 |
| packages\vue\src                                                                                        |          3 |         99 |         14 |         19 |        132 |
| scripts                                                                                                 |          8 |        594 |         53 |         78 |        725 |
| test-dts                                                                                                |         15 |      1,678 |        374 |        259 |      2,311 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\code\source code\vue-next\.circleci\config.yml                                                       | YAML             |         45 |          0 |          8 |         53 |
| d:\code\source code\vue-next\.eslintrc.js                                                               | JavaScript       |         22 |         44 |          1 |         67 |
| d:\code\source code\vue-next\.github\FUNDING.yml                                                        | YAML             |          3 |          0 |          1 |          4 |
| d:\code\source code\vue-next\.github\ISSUE_TEMPLATE\config.yml                                          | YAML             |         11 |          0 |          1 |         12 |
